state,state_abbr,occ_code,occ_title,total_emp,mean_salary,median_salary
Alabama,AL,13-1111,Management Analysts,5830,112390,98900
Alaska,AK,13-1111,Management Analysts,380,105470,101250
Arizona,AZ,13-1111,Management Analysts,16600,97980,82900
Arkansas,AR,13-1111,Management Analysts,5410,77180,60920
California,CA,13-1111,Management Analysts,110430,119370,99800
Colorado,CO,13-1111,Management Analysts,13130,105670,94750
Connecticut,CT,13-1111,Management Analysts,9570,115530,102960
Delaware,DE,13-1111,Management Analysts,4440,101500,86560
District of Columbia,DC,13-1111,Management Analysts,18570,120480,119480
Florida,FL,13-1111,Management Analysts,68540,95920,82390
Georgia,GA,13-1111,Management Analysts,34060,110250,101530
Hawaii,HI,13-1111,Management Analysts,2610,91270,83780
Idaho,ID,13-1111,Management Analysts,2820,88050,74790
Illinois,IL,13-1111,Management Analysts,44210,121310,104610
Indiana,IN,13-1111,Management Analysts,12140,94760,83560
Iowa,IA,13-1111,Management Analysts,5070,91630,83490
Kansas,KS,13-1111,Management Analysts,5300,87770,79720
Kentucky,KY,13-1111,Management Analysts,4230,90240,82130
Louisiana,LA,13-1111,Management Analysts,3540,104940,93870
Maine,ME,13-1111,Management Analysts,1960,89970,77730
Maryland,MD,13-1111,Management Analysts,21070,117360,116020
Massachusetts,MA,13-1111,Management Analysts,30900,134350,111550
Michigan,MI,13-1111,Management Analysts,15390,98520,84840
Minnesota,MN,13-1111,Management Analysts,20780,102380,92310
Mississippi,MS,13-1111,Management Analysts,3350,83720,66540
Missouri,MO,13-1111,Management Analysts,10370,103400,83890
Montana,MT,13-1111,Management Analysts,1130,87610,78660
Nebraska,NE,13-1111,Management Analysts,2800,89650,79990
Nevada,NV,13-1111,Management Analysts,3770,93930,82360
New Hampshire,NH,13-1111,Management Analysts,2630,119500,102840
New Jersey,NJ,13-1111,Management Analysts,19300,122840,103770
New Mexico,NM,13-1111,Management Analysts,3090,85070,81620
New York,NY,13-1111,Management Analysts,59640,126450,106100
North Carolina,NC,13-1111,Management Analysts,21490,109220,100570
North Dakota,ND,13-1111,Management Analysts,720,97190,85570
Ohio,OH,13-1111,Management Analysts,26160,95860,84080
Oklahoma,OK,13-1111,Management Analysts,4240,87360,82830
Oregon,OR,13-1111,Management Analysts,10510,98710,96080
Pennsylvania,PA,13-1111,Management Analysts,21410,98460,86790
Rhode Island,RI,13-1111,Management Analysts,4050,114260,84990
South Carolina,SC,13-1111,Management Analysts,9070,96820,85430
South Dakota,SD,13-1111,Management Analysts,2870,87200,79470
Tennessee,TN,13-1111,Management Analysts,9580,93870,83620
Texas,TX,13-1111,Management Analysts,50900,106600,95760
Utah,UT,13-1111,Management Analysts,5460,86780,80220
Vermont,VT,13-1111,Management Analysts,960,125240,106680
